Мой самолет и самолеты 1лвл:
A(0,30)
B(-42,-156)
C(42,150)
D(-147,-255)
E(-21,-105)
F(-21, -255)
G(21,-105)
H(21,-255)
J(-42,-300)
I(147,-255 )
K(42,-300)
L(-105,-330)
M(-42,-270)
N(-42,-330)
O(42,-270)
P(42,-330)
Q(105, -330)
R(0,300)
S(-32,-330)
T(-19,-330)
U(19,330)
V(32,330)

Самолеты 2вл:
//Фюзеляж
1	(0, -45)
2	(-20,+75)
3	(-45, +90)
4	(-60, +330)
5	(60, +300)
6	(45,+90)
7	(20,+75)
//Передние крылья
8	(-120, +120)
9	(-120, +135)
10	(-45,+105) связана с 3

11	(45, +105)
12	(120, +135)
13	(120,+120) связаны с 6 для завершения крыла
//несущие крылья
14	(-45,+130)
15	(-180, +210)
16	(-180, +255)
17	(-45, +225) замыкается на 14

18	(45, +255)
19	(180, +255)
20	(180, +210)
21	(45, +130)
//Задние крылья
22	(-45,+260)
23	(-150,+345)
24	(-120, +375)
25	(-75, +375) замыкается с 4

26	(75, +375)
27	(120, +375)
28	(150, 245)
29	(45, +270)

//Турбины
30	(-10, +260) соединяется с 22
31	(-15, +400)
32	(-40,+400) соединяется с 22

33	(10, +260)
34	(45, -260)
35	(40, +400)
36	(15, +400)

//Стекло
37	(-15, +75)
38	(15, +75)

Босс:
//основной фюзеляж
1	(0, -100) 
2	(-700, 350)
3	(-600, 450)
4	(-325, 275)
5	(-200, 400)
6	(-125, 350)
7	(0,450)
8	(125, 350)
9	(200, 400)
10	(325, 275)
11	(600, 450)
12	(700, 350)

//Закрылки
14	(-625,425) + 3 и 4
15	(-350,250)

16	(-297,252) + 4 и 5
17	(-170,380)

18	(-50,400) + 7
19	(0,350)
20	(50,400)

21	(170,380) + 9 и 10
22	(300,250)

23	(350,250) + 10 и 11
24	(625,425)

//Двигатели
25	(-200, 100)
26	(-200, 250)
27	(-162, 100)
28	(-125, 250)
29	(-125, 100)

30	(200, 100)
31	(200, 250)
32	(162, 100)
33	(125, 250)
34	(125, 100)

//Точки стрельбы
35	(-500,250)
36	(500,250)
37	(-162,96)
38	(162,96)
39	(0,-75)
